지점명,닉네임,작성리뷰수,작성시간,방문일,방문횟수,인증수단,좋아요수,리뷰내용,감정,근거
신촌2호점,ok_****,466,25.11.27.목,점심에 방문,1번째 방문,영수증,0,"멀리서 온 친구랑 술한잔 하고싶어서 방문했는데
음식맛은 기본 한다는 더본 홍콩반점
가맹점 직원 교육은 없나요
너무 불친절해서 음식 퀄리티마저 최악으로 떨어지네요😡😠😡😠😡😠
이렇게 불만족 했던적은 처음이네요
기분나쁘게 제돈쓰며 먹고갑니다
다시는 안오고 싶은 곳이네요",부정,불친절해서
신촌2호점,rmdlll,31,25.12.2.화,저녁에 방문,1번째 방문,영수증,0,"저렴한 맛에 가는 곳 •••
특별히 너무 맛있지는 않지만, 어떤 메뉴를 시켜도 맛 없지는 않은 것 같아요
무난무난한 메뉴로 좋음",긍정,무난무난한 메뉴로 좋음
신촌2호점,재재슈슈,3,25.11.27.목,저녁에 방문,3번째 방문,영수증,0,신촌에서 친구랑 가볍게 한잔 하고싶어서 갈곳을 찾다가 딱걸린 홍콩반점.깐풍새우 소스도 넉넉하고 양도 넉넉하고 술이 술~술~ 넘어가요. 짜장도 넘 맛있네요!!!!!,긍정,맛있네요
신촌2호점,엉클뤼치,8,25.11.28.금,점심에 방문,4번째 방문,영수증,0,"볶음밥 짱 맛있어요. 강추합니다
직원분들도 친절하고 매장도 깨끗.
재방문 예정 1000%",긍정,강추합니다
신촌2호점,엉클뤼치,8,25.10.1.수,저녁에 방문,3번째 방문,영수증,0,정말 맛있게 잘 먹었습니다. 식당가격들이 다 올라서 힘든데 홍콩반점은 착한가격에 양도 푸짐하고 너무 좋아요. 대만족. 자주 올게요,긍정,대만족
신촌2호점,LoL444,680,25.9.29.월,점심에 방문,2번째 방문,영수증,0,탕짜면 맛있어요🖤,긍정,맛있어요
신촌2호점,재재슈슈,3,25.10.2.목,점심에 방문,2번째 방문,영수증,0,날이 선선해지니 뜨거운 짬뽕국물이 그리워져서 혼밥하기 좋은 홍콩반점 다녀왔어요. 속이 확 풀리는게 넘 맛있네요. 담엔 둘이 가서 탕슉까지 먹어야겠어요.,긍정,넘 맛있네요
신촌2호점,Mjeong,2,25.11.28.금,점심에 방문,2번째 방문,영수증,0,탕수육 정말 맛있어요~,긍정,정말 맛있어요~
신촌2호점,Hyelinn,5,25.10.2.목,점심에 방문,2번째 방문,영수증,0,탕슈욱은 홍콩반점이 제일 맛있어요.~~ 튀김옷도 적당하고 색깔도 연하게 노릿노릿 한것이 맛있어요,긍정,맛있어요
신촌2호점,pru****,28,25.9.29.월,점심에 방문,1번째 방문,결제내역,2,음식 나오는 카운터에서 손톱 깎는 건 정말 아닌 것 같습니다. 위생적으로 굉장히 불쾌했습니다.,부정,위생적으로
